Time	Limited Velocity	Estimated Motor Velocity	Analog Command	Velocity Error	
0	-0	-1	-0.213	-1	
0.0004	-0	-0	-0.246	0	
0.0008	-0	-0	-0.213	-0	
0.0012	-0	-0	-0.224	0	
0.0016	-0	-1	-0.219	-0	
0.002	-0	-1	-0.257	0	
0.0024	-0	-0	-0.241	-0	
0.0028	-0	-1	-0.219	1	
0.0032	-0	-0	-0.246	-0	
0.0036	-0	-1	-0.235	0	
0.004	-0	-0	-0.219	0	
0.0044	-0	-0	-0.208	0	
0.0048	-0	-0	-0.235	-0	
0.0052	-0	-1	-0.213	-0	
0.0056	-0	-1	-0.213	-0	
0.006	-0	-1	-0.23	0	
0.0064	-0	-0	-0.241	-0	
0.0068	-0	-0	-0.213	-0	
0.0072	-0	-0	-0.241	0	
0.0076	-0	0	-0.219	0	
0.008	-0	-0	-0.241	0	
0.0084	-0	-1	-0.246	-0	
0.0088	-0	-0	-0.219	-0	
0.0092	-0	-0	-0.23	0	
0.0096	-0	-0	-0.241	-0	
0.01	-0	-0	-0.219	0	
0.0104	-0	-0	-0.246	-0	
0.0108	-0	-1	-0.224	0	
0.0112	-0	-0	-0.224	0	
0.0116	-0	-0	-0.23	-0	
0.012	-0	-0	-0.241	-0	
0.0124	-0	-0	-0.246	0	
0.0128	-0	-0	-0.23	0	
0.0132	-0	-0	-0.241	-0	
0.0136	-0	-0	-0.23	-0	
0.014	-0	-1	-0.208	-0	
0.0144	-0	-0	-0.252	-0	
0.0148	-0	-0	-0.235	0	
0.0152	-0	-1	-0.23	-0	
0.0156	-0	-0	-0.246	-0	
0.016	-0	-1	-0.235	-0	
0.0164	-0	-1	-0.246	-0	
0.0168	-0	-1	-0.213	0	
0.0172	-0	-0	-0.213	-0	
0.0176	-1	-1	-0.219	-0	
0.018	-0	-0	-0.219	-0	
0.0184	-0	-0	-0.224	-0	
0.0188	-0	-1	-0.224	-0	
0.0192	-0	-1	-0.213	-0	
0.0196	-0	-0	-0.219	-0	
0.02	-0	-0	-0.235	-0	
0.0204	-0	-0	-0.23	0	
0.0208	-0	-0	-0.224	-0	
0.0212	-0	-0	-0.241	-0	
0.0216	-0	-0	-0.219	-0	
0.022	-0	-0	-0.241	-0	
0.0224	-0	-1	-0.241	0	
0.0228	-0	0	-0.213	-0	
0.0232	-0	-1	-0.252	-0	
0.0236	-0	-0	-0.246	-0	
0.024	-0	-1	-0.241	-0	
0.0244	-0	-0	-0.241	-0	
0.0248	-0	-0	-0.213	-0	
0.0252	-0	-1	-0.241	-0	
0.0256	-0	-0	-0.235	-0	
0.026	-0	-1	-0.224	0	
0.0264	0	-0	5.391	0	
0.0268	1	-0	5.369	1	
0.0272	2	1	5.397	1	
0.0276	3	-0	5.375	3	
0.028	3	2	5.375	2	
0.0284	4	2	5.38	1	
0.0288	5	-1	5.402	6	
0.0292	6	3	5.397	3	
0.0296	7	2	5.364	4	
0.03	7	2	5.375	5	
0.0304	8	2	5.402	6	
0.0308	9	3	5.386	6	
0.0312	10	3	5.375	7	
0.0316	11	3	5.402	7	
0.032	11	3	5.402	7	
0.0324	11	4	5.402	7	
0.0328	11	4	5.375	7	
0.0332	11	4	5.402	7	
0.0336	11	4	5.397	7	
0.034	10	5	-0.208	6	
0.0344	9	5	-0.224	5	
0.0348	8	5	-0.23	3	
0.0352	8	5	-0.219	3	
0.0356	7	5	-0.246	2	
0.036	6	5	-0.213	1	
0.0364	5	5	-0.241	-0	
0.0368	4	5	-0.23	-1	
0.0372	4	5	-0.213	-2	
0.0376	3	0	-0.219	1	
0.038	2	6	-0.246	0	
0.0384	1	5	-0.235	-6	
0.0388	0	0	-0.213	0	
0.0392	-0	7	-0.241	-6	
0.0396	-0	0	-0.235	-1	
0.04	-0	3	-0.208	-2	
0.0404	-0	2	-0.224	-3	
0.0408	-0	2	-0.219	-2	
0.0412	-0	1	-0.224	-2	
0.0416	-0	1	-0.241	-2	
0.042	-0	1	-0.213	-2	
0.0424	-0	1	-0.213	-1	
0.0428	-0	-0	-0.246	-1	
0.0432	-0	0	-0.246	-1	
0.0436	-0	-0	-0.213	-0	
0.044	-1	-0	-0.219	-0	
0.0444	-0	-0	-0.241	-0	
0.0448	-0	-1	-0.213	0	
0.0452	-0	-0	-0.23	-0	
0.0456	-0	-1	-0.224	0	
0.046	-0	-1	-0.23	0	
0.0464	-0	-1	-0.224	0	
0.0468	-0	-1	-0.213	0	
0.0472	-0	-1	-0.224	0	
0.0476	-0	-0	-0.213	0	
0.048	-0	-1	-0.241	0	
0.0484	-0	-1	-0.246	0	
0.0488	-0	-1	-0.213	0	
0.0492	-0	-1	-0.235	0	
0.0496	-0	-0	-0.208	0	
